image_number,sheet_url,label_url
40097, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2227669ad5a10272ecf823, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e0e08e9b000d9ba96d
39439, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22228b594d90026625b1d1, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e0d7a04c00108d090d
39802, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2225f49ad5a10270ed0ce4, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e1d7a04c000d8d1df0
39967, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2226af594d90026525982e, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e2e08e9b000f9b1a42
40821, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222c8c6c613b0278254e89, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e2e08e9b000e9b370a
40724, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222bf1594d90026425a274, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e3e08e9b000f9b1a46
41151, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222f329ad5a10272ecf9e4, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e4e08e9b000d9ba975
40382, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222988594d900263259dac, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e4e08e9b00109b0ae1
41130, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222ea9b83f690264bf4012, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e6e08e9b000d9ba97b
38727, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221d199ad5a10272ecf5e4, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e6e08e9b000e9b3713
42222, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223747594d90026425a552, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e6e08e9b000e9b3716
39024, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221f01594d900265259698, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e7d7a04c000e8d8628
39614, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2224496c613b0278254c93, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e8e08e9b000d9ba982
38147, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2219256c613b0277254f8e, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61e9d7a04c000f8d2983
39558, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222380594d90026425a08f, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61eae08e9b000d9ba988
40823, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222cce6c613b02792544d1, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61ead7a04c000d8d1df6
38573, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221bcf6c613b0277255055, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61ead7a04c000f8d2986
40163, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2227fb6c613b0278254d66, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61ecd7a04c000e8d862c
39121, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221fcab83f690265bf2d36, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61ece08e9b000d9ba991
42253, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2237696c613b0278255177, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61edd7a04c000f8d2989
40576, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222aa7594d900265259909, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61edd7a04c000e8d862f
37901, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22171d6c613b027825493a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61ede08e9b000f9b1a5e
38768, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221cf39ad5a1026fece0b6, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61efd7a04c000d8d1dfa
38974, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221e859ad5a1026fece118, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f0d7a04c000e8d8636
38303, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221a21b83f690264bf3b02, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f0d7a04c000f8d298e
40727, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222bd3594d900263259e31, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f0d7a04c000e8d863a
37796, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2216696c613b027825490c, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f1e08e9b000d9ba997
42681, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22392fb83f690265bf332a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f2d7a04c00108d091b
38383, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221ad9594d900263259a51, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f3e08e9b00109b0af2
39348, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222134594d90026625b191, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f4d7a04c000e8d8645
41683, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2233486c613b027a2549fc, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f4e08e9b000e9b3733
42216, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2236ef6c613b027a254b08, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f4d7a04c000f8d2993
42072, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2235fc9ad5a10271ecef5e, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f6e08e9b000f9b1a69
38394, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221afdb83f690265bf2c0c, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f6e08e9b000e9b3739
39413, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2221d7b83f690267bf25b9, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f7e08e9b000e9b373c
41994, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223580b83f690264bf41fb, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f7d7a04c000f8d2999
40306, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2228c8b83f690267bf2713, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f7e08e9b000e9b373f
39180, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22201eb83f690266bf292a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61f9d7a04c00108d092a
37820, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2216c2b83f690264bf39f8, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61fad7a04c000e8d8655
39944, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222658594d90026425a126, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61fad7a04c000e8d8658
39174, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221ff79ad5a10272ecf692, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61fbd7a04c000f8d29a6
38336, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221a8db83f690264bf3b22, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61fbe08e9b00109b0af7
39958, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2226589ad5a10270ed0cf7, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61fcd7a04c000d8d1e0d
